asset_id,label,nmap_tcpdump_text,bytes_in,bytes_out,pkts_in,pkts_out,flows_5m,uniq_dst,diurnal_ratio,server_role_ratio,port_22,port_80,port_443,proto_tcp,proto_udp
asset_061,server,5900/tcp open vnc VNC protocol 3.8,327240903,92462297,261247,125205,285,98,0.416,0.596,0,1,1,1,1
asset_062,workstation,5900/tcp open vnc VNC protocol 3.8,461452529,328899537,597251,652194,30,79,0.96,0.099,0,0,1,0,0
asset_063,iot,53/udp open domain BIND 9.16.1,187630878,593697161,79711,165136,1,53,0.451,0.594,1,0,0,1,1
asset_064,network_device,161/udp open snmp SNMPv2c,77428684,739073939,245762,969790,135,81,0.59,0.804,0,1,0,0,0
asset_065,server,21/tcp open ftp vsftpd 3.0.3,888588450,153725050,75878,63535,84,40,0.595,0.824,1,1,0,1,1
asset_066,workstation,1883/tcp open mqtt Mosquitto 1.6.9,293322121,538377910,567211,518781,224,11,0.598,0.889,1,1,0,0,0
asset_067,iot,5900/tcp open vnc VNC protocol 3.8,631418447,23275263,802909,705938,420,35,0.576,0.763,0,1,1,1,0
asset_068,network_device,5900/tcp open vnc VNC protocol 3.8,469027936,682594897,854797,516611,496,12,0.47,0.408,1,0,0,1,1
asset_069,server,161/udp open snmp SNMPv2c,310471503,712443654,992107,420904,416,98,0.55,0.455,1,1,1,0,1
asset_070,workstation,8080/tcp open http-proxy Squid 4.10,886758835,2235946,690606,912597,277,60,0.413,0.188,1,1,1,0,0
asset_071,iot,21/tcp open ftp vsftpd 3.0.3,590720101,141674381,973735,303020,224,90,0.485,0.029,0,0,1,0,1
asset_072,network_device,80/tcp open http Apache httpd 2.4.41,242270488,904452470,958276,119972,236,16,0.648,0.154,1,1,1,1,1
asset_073,server,53/udp open domain BIND 9.16.1,491470737,592916368,152668,403219,97,77,0.508,0.879,0,1,1,1,1
asset_074,workstation,22/tcp open ssh OpenSSH 8.2p1,304696046,780591310,314058,879157,300,75,0.999,0.49,0,1,1,1,1
asset_075,iot,8080/tcp open http-proxy Squid 4.10,820128302,584503591,396533,478463,477,42,0.87,0.981,0,1,0,1,0
asset_076,network_device,3306/tcp open mysql MySQL 5.7.31,800621068,508854378,740485,958800,415,49,0.386,0.664,0,1,0,0,1
asset_077,server,80/tcp open http Apache httpd 2.4.41,939654765,908354172,462694,105555,269,59,0.015,0.144,0,0,1,1,1
asset_078,workstation,5900/tcp open vnc VNC protocol 3.8,744785903,427794469,682403,85216,436,43,0.852,0.859,1,1,1,0,0
asset_079,iot,53/udp open domain BIND 9.16.1,678703980,735868441,966664,302338,116,96,0.09,0.978,0,1,0,1,0
asset_080,network_device,22/tcp open ssh OpenSSH 8.2p1,349294647,855852540,59845,308618,183,48,0.431,0.244,1,0,0,0,0
asset_081,server,5900/tcp open vnc VNC protocol 3.8,936056899,411753814,650813,717318,123,64,0.913,0.143,1,1,1,1,0
asset_082,workstation,161/udp open snmp SNMPv2c,968666251,309842146,711526,574149,80,10,0.442,0.346,1,1,1,1,1
asset_083,iot,53/udp open domain BIND 9.16.1,414061224,917261972,507680,112834,121,49,0.572,0.575,1,0,1,1,0
asset_084,network_device,5900/tcp open vnc VNC protocol 3.8,929859046,737371599,817118,781841,498,7,0.911,0.745,1,0,1,0,0
asset_085,server,5900/tcp open vnc VNC protocol 3.8,270108475,728744047,793280,756948,392,85,0.681,0.137,0,0,1,1,0
asset_086,workstation,5900/tcp open vnc VNC protocol 3.8,392766764,787365312,138795,95511,465,38,0.327,0.416,0,0,1,1,0
asset_087,iot,21/tcp open ftp vsftpd 3.0.3,982452587,886503942,991052,506254,495,38,0.747,0.339,0,1,0,0,0
asset_088,network_device,1883/tcp open mqtt Mosquitto 1.6.9,909111216,864919401,585384,384542,46,51,0.014,0.537,1,1,1,1,1
asset_089,server,80/tcp open http Apache httpd 2.4.41,725600232,252064359,495379,27240,317,72,0.328,0.61,0,1,1,1,0
asset_090,workstation,443/tcp open https nginx 1.18.0,49690765,40956218,320149,517554,59,13,0.235,0.538,1,1,1,1,0
asset_091,iot,1883/tcp open mqtt Mosquitto 1.6.9,704217037,107323670,875190,514117,315,53,0.939,0.28,1,0,1,1,0
asset_092,network_device,3306/tcp open mysql MySQL 5.7.31,107681214,737243579,386178,571913,461,83,0.359,0.398,0,0,1,0,0
asset_093,server,5900/tcp open vnc VNC protocol 3.8,23932394,55308262,826013,350709,124,17,0.787,0.205,0,0,0,1,0
asset_094,workstation,5900/tcp open vnc VNC protocol 3.8,4044648,298721596,901104,152716,66,70,0.251,0.174,0,0,0,1,0
asset_095,iot,5900/tcp open vnc VNC protocol 3.8,348646966,17944811,183710,279258,26,17,0.742,0.526,0,1,1,1,0
asset_096,network_device,161/udp open snmp SNMPv2c,541992677,238887233,992340,645986,22,94,0.783,0.867,1,1,0,0,1
asset_097,server,1883/tcp open mqtt Mosquitto 1.6.9,458707813,737691577,114206,515084,364,57,0.073,0.081,0,0,0,1,1
asset_098,workstation,1883/tcp open mqtt Mosquitto 1.6.9,642444618,570681065,310222,476755,258,78,0.43,0.793,0,0,1,1,0
asset_099,iot,1883/tcp open mqtt Mosquitto 1.6.9,364925049,889434627,476528,419098,212,94,0.095,0.427,1,1,0,1,0
asset_100,network_device,80/tcp open http Apache httpd 2.4.41,894108266,92659287,98758,453855,49,96,0.739,0.812,0,1,0,1,1
